APPIC Number,Site / Department,url_number
2271,Catholic Charities of the Archdiocese of Denver/-Regina Caeli Clinical Services,1491
2286,Catholic Diocese of Arlington/Catholic Charities ,883
1393,Center for Behavioral Medicine (formerly Western Missouri Mental Health Center)/Department of Psychiatry,269
1967,Centerstone Consortium/Psychology Department,496
1936,Central Alabama Veterans Health Care System/Psychology/123,522
1105,Central Arkansas Veterans Healthcare System/Mental Health Service ,120
1908,Central Regional Hospital/Department of Psychology,388
1924,Central Texas Internship in Clinical and Forensic Psychology/Department of Clinical and Therapeutic Services,617
1591,Central Texas Veterans Health Care System/Psychology Service (116B),122
1730,Central Washington University/Student Medical and Counseling Clinic,709
1832,Centre for Addiction and Mental Health /Psychology,1541
2292,CHAC (Community Health Awareness Council)/Doctoral Psychology Internship Program,1588
2066,Charles George VA Medical Center/Mental Health Service (116),214
1552,Charleston Consortium Internship/Psychiatry & Behavioral Sciences,293
2048,Chehalem Youth and Family Services/Clinical Services,243
1324,Cherokee Health Systems/Psychology ,110
2181,Chestnut Hill College Internship Consortium/Department of Professional Psychology,247
2302,Cheyenne Veterans Affairs Medical Center/Psychology,1459
1673,Chicago Area Christian Training Consortium/Internship in Professional Psychology,113
1502,Child and Adolescent Behavioral Health /CMHC/Child Facility,771
1902,"Child and Adolescent Services (CAS)/ University of California, San Francisco/ San Francisco General Hospital/Department of Psychiatry",716
1143,Child and Family Guidance Center/Training Program,562
1605,Child Guidance Center of Southern Connecticut/Psychology,618
1171,Children's Hospital Colorado/Pediatric Mental Health Institute,462
1816,Children's Hospital of Eastern Ontario/Psychology,448
1362,Children's Hospital of Michigan/Department Child Psychiatry & Psychology ,289
1146,Children's Hospital of Orange County/Department of Pediatric Psychology,336
1379,"Children's Hospitals and Clinics of Minnesota/Psychological Services, 17-217",14
1984,"Children's Institute, Inc./Leadership Center",845
1390,Children's Mercy Kansas City/Division of Developmental and Behavioral Sciences; Section of Psychology,34
1187,Children's National Medical Center/Department of Psychology,841
1392,Christian Psychotherapy Services/Psychology Training,114
1503,Cincinnati Children's Hospital Medical Center/O'Grady Residency in Psychology,548
1504,Cincinnati VA Medical Center/Psychology Training Program (116B),268
1217,Citrus Health Network/Psychology Training Program,543
1720,Clemson University/Counseling & Psychological Services,573
1920,Cleveland State University /Counseling Center ,657
1262,Clinical Psychology Internship Program at The McGaw Medical Center - Northwestern University/Department of Psychiatry & Behavioral Sciences ,362
1529,Coatesville VA Medical Center/Psychological Services (116B),193
2072,College of William and Mary Counseling Center/Counseling Center,117
1795,Colorado Department of Corrections/Clinical Services,249
1172,Colorado Mental Health Institute at Fort Logan/Department of Psychology,455
1963,Colorado Mental Health Institute at Pueblo/Forensic Psychology,765
2324,Colorado Psychology Internship Consortium (CO-PIC)/Internship Consortium in Psychology,1684
1177,Colorado State University/CSU Health Network,33
1465,Columbia University Medical Center/New York State Psychiatric Institute,99
2125,Columbia Valley Community Health /Behavioral Medicine Department ,795
2341,"Columbus VA, Chalmers P. Wylie Health Care Center/Behavioral Health Division",1592
1964,Community Counseling Center of Mercer County (formerly Penn-Ohio Psychology Internship Program)/Psychology Internship ,466
1342,Community Healthlink Youth and Family Services/formerly Worcester Youth Guidance Center,724
1170,Community Reach Center (Formerly Adams Community Mental Health Center)/Psychology Internship,242
2055,Community Services Institute/Springfield,52
2314,"Comprehensive Outpatient Recovery, Treatment & Evaluation/Clinical Services",1447
1861,Concordia University Psychology Internship Programme/Psychology,614
2225,Conemaugh Memorial Medical Center /Family Medicine,528
1182,Connecticut Valley Psychology Internship/River Valley Services/Internship,12
1777,Connections Day School/DOCTORAL INTERNSHIP,283
1721,Consortium of the Clifford Beers Clinic and the Post Traumatic Stress Center/ Psychology Training,506
2242,Corizon Behavioral Health at Wabash Valley Correctional Facility /Behavioral Health,532
2173,Corporal Michael J. Crescenz VA Medical Center      /Psychology,339
2071,Correct Care Solutions/Treasure Coast Forensic Treatment Center/Psychology Services,1641
1211,"CorrectCare, LLC/ South Florida State Hospital/Department of Psychology",161
1858,Correctional Service of Canada /Psychology,287
1578,Cypress-Fairbanks Independent School District/Psychological Services,691
1571,Dallas Independent School District/Psychological and Social Services,57
1327,Danielsen Institute at Boston University/Psychology Internship Training Program,221
1512,Dayton VA Medical Center/Mental Health Service (17P),572
1173,Denver Health /Behavioral Health Services,345
2224,Derner Internship Consortium/Derner,881
1548,Devereux /Institute of Clinical and ProfessionalTraining and Research,79
1947,Devereux Massachusetts/Devereux Massachusetts,325
1116,Didi Hirsch Mental Health Services/Training Division,226
2140,Donaldson Wellness Center /Donaldson Wellness Center,623
2260,Drexel Univeristy / Drexel University Counseling Center,1368
1412,Duke University/Counseling and Psychological Services,67
1413,Duke University Medical Center/Psychiatry & Behavioral Sciences,205
1667,DuPage County Health Department/Mental Health Services,176
1236,Dwight David Eisenhower Army Medical Center/Behavioral Health,425
1860,Eastern Health/Professional Practice,593
1607,Eastern Virginia Medical School/Department of Psychiatry & Behavioral Science,225
2350,Eating Recovery Center of San Antonio/Eating Disorder,1545
2257,"Edison Court, Inc./Predoctoral Internship Program",1535
1322,Edith Nourse Rogers Memorial VA Medical Center/Psychology Service (116B),109
1804,Edmonton Consortium Clinical Psychology Residency/Psychology,139
1275,"Edward Hines, Jr. VA Hospital/Psychology Service (116B)",364
2222,El Paso Psychology Internship Consortium/EPPIC,1402
1229,Emory University  Counseling and Psychological Services/Emory University Counseling and Psychological Services,315
1230,Emory University School of Medicine/Department of Psychiatry and Behavioral Sciences (Psychology) and Dept. of Rehabilitation Medicine (Division of Neuropsychology and Behavioral Health),210
1940,Erie Psychological Consortium/Northshore Psychological Associates ,739
1307,"Family Service and Guidance Center, Inc./Training and Education",416
2207,Fargo VA Health Care System /Psychology,567
1199,Faulk Center for Counseling (formerly Center for Group Counseling)/Psychology Internship Training,440
1222,Federal Bureau of Prisons/Psychology ,245
2126,Federal Bureau of Prisons - FCC Terre Haute /Psychology Services,801
1407,"Federal Correctional Complex - Butner, NC/Psychology Services",66
2169,"Federal Correctional Complex - Petersburg, Virginia/Psychology",670
1575,Federal Correctional Institution/Psychology Services Department,706
1167,"Federal Correctional Institution, Terminal Island/Psychology Department",424
1385,Federal Medical Center/Psychology Services,148
1743,"Federal Medical Center, Carswell/Psychology Services",16
1722,"Federal Medical Center, Devens/Psychology Services",187
1311,"Federal Medical Center, Lexington/Psychology Services Department",858
2282,Florida Atlantic University/Counseling and Psychological Services,903
2317,Florida Counseling and Evaluation Services/Training and Development,1434
2033,Florida Department of Corrections/ Office of Health Services/Doctoral Internship,754
2239,Florida Gulf Coast University CAPS/Counseling and Psychological Services (CAPS),912
1767,Florida International University/Counseling & Psychological Services ,324
1200,Florida State Hospital/Psychology,600
1224,Florida State University/Louise R. Goldhagen Regional Multidisciplinary Evaluation and Consulting Center,640
1223,Florida State University/University Counseling Center  ,56
1651,Fort Worth Independent School District/Psychological Services Department,786
1328,Franciscan Children's/Behavioral Health Services,246
1661,Franciscan St. James Health/Behavioral Health,566
1535,Friends Hospital/Psychology,484
2182,Frontier Health Services/Psychology Training,523
2311,Frostburg State University /Counseling & Psychological Services,1428
1783,Fulton State Hospital/Psychology ,529
1420,Geisel School of Medicine at Dartmouth /Department of Psychiatry,556
1530,Geisinger Medical Center/Department of Psychiatry,49
2197,George Fox University/George Fox Integrated Care Internship,75
2057,George Mason University/Counseling and Psychological Services ,655
2259,Georgia Regional Hospital - Atlanta/Psychology,925
2146,Georgia Southern University /Counseling Center,476
1231,Georgia State University/Counseling & Testing Center,728
2012,Georgia Tech Counseling Center/Division of Student Affairs,751
2298,Girard Medical Center/Psychology,886
1212,Goodman Psychological Services Center/Carlos Albizu University,588
1968,Goodwill Industries of Northern New England/Human Services-neurorehabilitation,251
1358,Grand Valley State University/University Counseling Center,574
1185,Greater Hartford Clinical Psychology Internship Consortium (VA)/Psychology Service (116B),323
2058,Green Chimneys Children's Services/Clinical Services,300
1425,Greystone Park Psychiatric Hospital/Psychology,128
1401,Gulf Coast Veterans Health Care System/Psychology  Service (116B),390
1830,Hamilton Health Sciences/McMaster Children's Hospital,145
1867,Hamilton Health Sciences/Regional Rehabilitation Centre (Neuropsychology),1527
2157,Hamilton-Madison House Inc/Department of Behavioral Health Services,413
1694,Hamm Clinic/-,656
2000,Harris County Juvenile Probation Department/Forensic Unit,662
1329,Harvard Medical School/Massachusetts General Hospital/Department of Psychiatry,406
1323,Harvard Medical School/McLean Hospital/Psychology Department,38
1330,Harvard Medical School/The Children's Hospital/Department of Psychiatry,164
1239,"Hawai`i School of Professional Psychology Internship Consortium at Argosy University/Hawai`i School of Professional Psychology at Argosy University, Hawai`i",194
2255,Hawaii Psychology Internship Consortium/Internship Consortium in Clinical Psychology,1364
1373,Hawthorn Center/Psychology Department,76
2094,Haymount Institute for Psychological Assessment/Psychological Testing Center,690
1660,Hazelden Mental Health Centers /Mental Health,190
2281,Headway Emotional Health Services/Outpatient Therapy ,892
2301,Healtheast Care System/H.E. Behavioral Care,929
2044,HealthPoint/Behavioral Health,654
1925,Heart of America Psychology Training Consortium/ Central Region,131
2288,Heart of America Psychology Training Consortium/Great Lakes Region,1394
1756,Hefner VA Medical Center/Mental Health and Behavioral Sciences,259
1380,Hennepin County Medical Center  (HCMC)/Psychiatry,695
1364,Henry Ford Health Sciences Center/Department of Psychiatry ,558
1973,"Heritage Clinic, a division of the Center for Aging Resources/Heritage Clinic",201
1276,Hoffman Estates Department of Health & Human Services/Health and Human Services Division,101
1961,Holcomb Behavioral Health Systems/Psychology,342
1831,Holland Bloorview Kids Rehabilitation Hospital/Psychology ,620
1818,Hospital for Sick Children/Psychology Department,758
1579,Houston Independent School District/Psychological Services Department,238
1191,Howard University/Counseling Service,306
2175,Huntington VA Medical Center/Mental Health Clinic,435
1494,Hutchings Psychiatric Center/Psychology Department,509
2059,I Ola Lahui Rural Hawaii Behavioral Health Program/Internship,513
1474,Icahn School of Medicine at Mount Sinai /Rehabilitation Psychology/Neuropsychology Services,400
2158,Illinois Psychological Association Consortium/Illinois Psychological Association PreDoctoral Internship Consortium,545
1132,Illinois School Psychology Internship Consortium/Illinois State University,625
1279,Illinois State University/Student Counseling Services,601
2036,Immaculata University Psychology Internship Consortium/Graduate Psychology Department,262
1992,Indian Health Board of Minneapolis/Indian Health Board of Minneapolis,697
1289,Indiana University /Counseling and Psychological Services,603
1294,"Indiana University School of Medicine/Department of Psychiatry, Section of Psychology",806
2150,Insight Behavioral Health Centers/Insight Behavioral Health Centers,871
1210,"Institute for Child and Family Health, Inc.  /Psychology Internship Program",344
2141,Institute for Multicultural Counseling and Education Services /Psychology Training,619
1180,Institute of Living/ Hartford Hospital /Psychology Department,299
2220,Integrated Behavioral Health Consortium of Indiana/Behavioral Health and Psychological Services,626
2339,"Intercommunity Action, Inc./Behavioral Health",1609
2074,Iowa City VA Health Care System/Psychology,672
1245,Iowa State University/Student Counseling Service,632
1978,IUPUI/Counseling and Psychological Services ,359
1812,IWK Health Centre/Community Mental Health ,860
1225,James A. Haley Veterans' Hospital/MHBS/Psychology Service (116B),197
1561,James H. Quillen VA Medical Center/Psychology Service (116B2),864
1649,James Madison University/Counseling Center ,188
2180,Jefferson Center for Mental Health/Jefferson Center for Mental Health,688
1313,"Jefferson County (KY) Internship Consortium/Seven Counties Services, Inc.",59
1268,Jesse Brown VA Medical Center/MHSL-Psychology  (116B),652
1780,Jewish Child and Family Services (formerly Jewish Children's Bureau)/Psychological Services,44
1482,Jewish Child Care Association/Psychology,313
1365,John D. Dingell VA Medical Center/Psychology   MH11-PS,415
1353,John L. Gildner Regional Institute for Children and Adolescents (JLG-RICA)/Predoctoral Clinical Psychology Internship Program,256
1669,Johns Hopkins University/Counseling Center,379
2318,Jordan School District/Guidance,1460
2106,Kaiser Permanente Fresno Internship in Clinical Psychology /Mental Health Department ,254
1131,Kaiser Permanente Medical Care Program/Department of Psychiatry,290
1118,"Kaiser Permanente Medical Care Program, San Diego/Psychiatry and Addiction Medicine",722
1250,Kane County Diagnostic Center/,714
2340,Kansas City VA Medical Center/Psychology,1776
1305,Kansas State University/Counseling Services,811
2238,Keene State College/Counseling Center,1474
1344,Kennedy Krieger Institute/at Johns Hopkins University School of Medicine,774
2183,Kentucky River Community Care Inc /Psychology,643
2009,Kern County Mental Health Psychology Internship/Clinical Services,351
1450,Kings County Hospital Center/Behavioral Health - Department of Psychology,4
1838,Kingston Internship Consortium/ Psychology,228
2277,"L.U.K. Crisis Center, Inc./Behavioral Health Services",885
1277,Lake Forest College/Health & Wellness Center,507
1916,Lakeview Specialty Hospital and Rehab/Psychology ,711
1986,Lancaster General Health/Medicine,173
2015,Larned State Hospital/Psychology ,92
2116,Lehigh University /University Counseling and Psychological Services,358
1471,Lenox Hill  Hospital/Division of Psychological Services/Department of Psychiatry,273
1585,Lewisville Independent School District/Special Education,74
1312,Lexington VA Medical Center/Mental Health Service ,616
2040,Liberty Healthcare Ltd. Psychology Training Program/Illinois Department of Human Services,756
2189,"Life Skills Psychological Services, PC/Internship Training",468
1636,Lincoln Hills/Copper Lake Schools Internship in Adolescent Clinical and Forensic Psychology/Wisconsin Department of Corrections,773
1447,"Lincoln Medical and Mental Health Center/Department of  Psychiatry, UNIT 4-A",479
1645,Linden Oaks at Edward/Doctoral Training Program,1556
1709,Loma Linda University School of Medicine/Deptartment of Psychiatry,570
1126,Loma Linda VAMC (Jerry L. Pettis VA)/Psychology Service (116B),622
1815,London Clinical Psychology Residency Consortium/ ,443
2159,Lone Star Psychology Internship Consortium/Lone Star Psychology Internship Consortium,308
1459,Long Island Jewish Medical Center -The Zucker Hillside Hospital/Psychological Services,592
1130,Los Angeles County Department of Mental Health (LACDMH)/Correctional and Community Mental Health Psychology Training Program,498
1508,Louis Stokes Cleveland VA Medical Center/Psychology Service  116B(W),855
1683,Louisiana School Psychology Internship Consortium/LSU Health Sciences Center - Human Development Center,320
1316,"Louisiana State University Health Sciences Center, School of Medicine/Department of Psychiatry",787
1165,Lucile Packard Children's Hospital at Stanford/Children's Health Council/Division of Child and Adolescent Psychiatry,183
1965,Madigan Army Medical Center/Department of Behavioral Health ,495
2172,Madison VHA/Psychology,933
1213,Mailman Center for Child Development/U Miami School of Medicine/Department of Pediatrics,25
1451,Maimonides Medical Center/Department of Psychiatry,649
1343,Malcolm Grow Medical Clinics  and Surgery Center (USAF)/Mental Health Flight,318
1472,Manhattan Psychiatric Center/Department of Psychology,667
1306,"Marcus Autism Center at Emory University School of Medicine, Department of Pediatrics/Doctoral Psychology Internship",577
1927,"Marin County Health and Human Services/Division of  Mental Health and Substance Use Services, Psychology Training Program",347
2272,Maryville Academy/Clinical Psychology,1418
1331,"Massachusetts Mental Health Center/Harvard Medical School Dept. of Psychiatry at Beth Israel Deaconess Medical Center/Mass. Mental Health Center Division of Public Psychiatry, Beth Israel Deaconess Department of Psychiatry, Harvard Medical School",26
2069,McGuire VA Medical Center/Psychology Division (116B),735
1233,Medical College of Georgia-Charlie Norwood VA Medical Center Psychology Internship/Psychological Service (26),397
1583,"MEDVAMC - Houston,Texas/Psychology Training Program ",648
1811,Memorial University of Newfoundland/University Counselling Centre,61
1558,Memphis VA Medical Center/Psychology Section (116A4),589
1627,Mendota Mental Health Institute/Department of Psychology and Research,727
2184,"Mental Health Systems, PC/Training",767
1493,MercyFirst/Psychology Internship Program,471
2297,MetroHealth Medical Center/Department of Child and Adolescent Psychiatry and Psychology,1359
1133,Metropolitan Detention Center/Psychology Services,736
1144,Metropolitan State Hospital/Psychology,1551
1388,MHSPC/ Missouri Health Sciences Psychology Consortium,423
1515,Miami University Student Counseling Service/Student Affairs,81
1220,Miami VA Healthcare System/Psychology Service ,361
1216,Miami-Dade County/Community Action & Human Services Department,331
1369,Michigan State University/Counseling Center,349
2018,"Mid Atlantic Internship Consortium/American School of Pofessiona Psychology, Argosy University, Washington DC",799
2050,"Mid-Ohio Psychological Services, Inc./Mid Ohio Psychological Services",281
2273,Middlesex Hospital/-,908
2291,Midwestern University Multi-Specialty Clinic/Clinical Psychology Clinic,917
1727,Milton Hershey School/Psychological Services,726
1383,Minneapolis VA Health Care System /Psychology (116B),713
2160,Minneapolis/Saint Paul Metropolitan Internship Consortium/Minnesota School of Professional Psychology at Argosy University,703
1764,Minnesota Department of Corrections/Minnesota Correctional Facility - Stillwater,209
2090,Minnesota Sex Offender Program /,279
1657,Mississippi State Hospital/Psychological Services,510
1572,Momentous Institute/Therapeutic Services,48
1405,"Montana State University, Bozeman/Counseling and Psychological Services",750
2205,Monterey County Behavioral Health Doctoral Psychology Training Program/Children's Division,527
1524,Morrison Child and Family Services/Community Mental Health Center,636
1464,Mount Sinai Beth Israel Medical Center/Department of Psychiatry,822
2013,Mount Sinai Hospital/Adolescent Health Center,317
1982,Mount Washington Pediatric Hospital/Division of Pediatric Psychology and Neuropsychology,760
1458,Mt. Sinai Services/Elmhurst Hospital Center,88
1337,Multicultural Psychology Internship Program /c/o Behavioral Health Network,542
1142,Napa State Hospital/Department of Psychology ,497
1457,Nassau University Medical Center/Department of Psychiatry & Behavioral Health Sciences,70
2185,Natalis Counseling & Psych Solution/Natalis Internship Program,712
1509,Nationwide Children's Hospital/Department of Psychology,474
1152,"Naval Medical Center, San Diego/Directorate for Mental Health Services",121
2142,NC Dept. of Public Safety/Division of Adult Corrections,1555
1416,Nebraska Internship Consortium in Professional Psychology/Educational Psychology,84
1781,Nebraska Mental Health Centers /Psychology Internship Program,174
1197,Nemours/Alfred I. duPont Hospital for Children/Division of Behavioral Health,408
2108,Neurobehavioral Institute of Miami/,439
2323,Nevada Psychology Internship Consortium (NV-PIC)/Division of Public and Behavioral Health,1680
2134,New Connections Academy/,473
1438,New Mexico State University/Counseling Center,204
1442,New York City Children's Center-Queens Campus/Psychology,762
1476,New York University - Bellevue Hospital Center/Departments of Psychiatry and Child & Adolescent Psychiatry,95
1475,New York University Langone Medical Center/Rusk Institute of Rehabilitation Medicine,749
1466,NewYork Presbyterian Hospital/Weill-Cornell Medical Center/Psychology Internship Training Program,232
1796,"Nicklaus Children's Hospital, formerly Miami Children's Hospital, Psychology Internship Program/Psychology Services",686
1437,NMVAHCS/Southwest Consortium Doctoral Psychology Internship ,155
1444,North Bronx Healthcare Network: Jacobi Medical Center/North Central Bronx Hospital/Behavioral Healthcare Services/Psychology,633
2312,North Carolina State University/Counseling Center,1486
1207,North Florida/South Georgia Veterans Health System/Psychology Service - 116 B,36
2245,North Louisiana Psychology Internship Consortium/,11
1209,Northeast Florida State Hospital/Psychology Department,458
1521,Northeastern Oklahoma Psychology Internship Program/Psychology,428
2210,Northern Arizona VA Health Care System /Mental Health Behavioral Science Service Line,391
2363,Northern California Department of Corrections and Rehabilitation Consortium (NCDCRC)/Psychology Training,1664
1270,Northern Illinois University/Counseling & Consultation Services (formerly Counseling & Student Development Center),534
1862,Northern Ontario Psychology Internship Consortium (NORPIC) /St. Joseph's Care Group / Children's Centre Thunder Bay / Thunder Bay Regional Health Sciences Centre,159
1481,Northport VAMC/Psychology Service (116B),561
2200,Northwest Suburban Internship Consortium/Psychology,329
1274,Northwestern University/Counseling and Psychological Services,338
2274,Northwood Health Systems/Psychology,887
1617,Norwich University/Student Counseling and Psychological Services,743
1823,Nova Scotia Capital District Mental Health/Capital Health Addictions and Mental Health Program,277
1204,Nova Southeastern University/South Florida Consortium Internship Program,60
1203,Nova Southeastern University Psychology Services Center/College of Psychology,253
2144,"Nystrom & Associates, Ltd/Psychology Training",143
2359,Oakes Children's Center/Internship Training Program,1568
1500,Ohio Psychology Internship - Formerly Northeastern Ohio Universities College of Medicine/Psychology Internship Program,328
1511,Ohio State University/Counseling and Consultation Service,780
2306,Ohio State University/Psychiatry & Behavioral Health,1485
2028,"Ohio University, Counseling and Psychological Services, /Division of Student Affairs",437
2054,OhioGuidestone/Psychological Services,499
1518,Oklahoma Health Consortium/Oklahoma Health Consortium,631
1859,Ontario Shores: Centre for Mental Health Sciences /Department of Psychology ,678
1525,Oregon Health & Science University - Univ. Center for Excellence on Developmental Disabilities/Child Development and Rehabilitation Center,605
2322,Oregon State Hospital/Psychology Internship Program,1730
1752,Oregon State University/Counseling and Psychological Services,80
2221,"Orlando VA Medical Center/Psychology, Mental Health",87
2212,Oscar G. Johnson VA Medical Center/Behavioral Health Services,888
1477,Pace University/Counseling Center,717
1148,Pacific Clinics/Psychology Internship Program/Clinical Intern Program,470
1244,"Pacific Islands Health Care System, VA/Psychology Internship Training Program",152
2216,Pacific Rehabilitation Centers/Behavioral Health Services,1392
1939,Palos Behavioral Health Professionals/Private Practice,535
2161,Park Avenue Center/-,763
1292,"Park Center, Inc./Pre-Doctoral Internship",78
1208,Park Place Behavioral Health Care/Pre-Doctoral Internship,282
1149,Patton State Hospital/Psychology Department,366
2266,Penn State Milton S. Hershey Medical Center/Psychiatry,1525
1913,Pennsylvania Counseling Services/Psychology,819
1536,"Pennsylvania Hospital, University of Penn Health System/Psychology Dept",384
1547,Pennsylvania State University/Center for Counseling & Psychological Services,89
1938,Philadelphia College of Osteopathic Medicine Center for Brief Therapy/Department of Psychology ,843
1531,Philhaven/Philhaven Psychology Department,191
1671,Phoenix VA Health Care System/Psychology Department (116B),584
1497,Pilgrim Psychiatric Center/Psychology Department,19
1402,Pine Grove Behavioral Health & Addiction Services/Doctoral Internship in Professional Psychology (formerly Southern Mississippi Psychology Internship Consortium),635
1370,Pine Rest Christian Mental Health Services/Pre-Doctoral Psychology Internship,467
2285,Pittsburgh Psychology Internship Consortium (P-PIC)/-,1558
1791,Ponce Health Sciences University/Psychology Internship Consortium (PSMHS-PIC),1538
1798,Portland State University/Center for Student Health and Counseling,371
1527,"Portland VA Medical Center/Marilyn Huckans, PhD (P3MHN)",452
2203,Primary Care Psychology Associates /Psychology,310
1601,Primary Children's Hospital/Psychiatry and Behavioral Health,399
1970,Princeton House Behavioral Health/NA,3
1918,Psychiatric Institute of Washington/Psychology Training,224
2305,"Psychological Center for Expert Evaluations, Inc./  ",1436
2327,Puget Sound Psychiatric Center/Doctoral Clincial Training and Psychiatric Residency,1421
1301,Purdue University/Counseling and Psychological Services (CAPS),227
1813,Queen Elizabeth II Health Sciences Centre/Psychology,200
1678,"RAMS, Inc./National Asian American Psychology Training Center",504
2153,Range Mental Health Predoctoral Internship/RMHC Outpatient ,770
1762,Rappahannock Area Community Services Board/Internship Program in Professional Psychology,661
1549,Reading Hospital/Center for Mental Health,615
1853,Regina Qu'Appelle Health Region/Regina Qu'Appelle Health Region Pre-doctoral Residency in Clinical Psychology,482
2168,Richard L Roudebush Indianapolis VAMC/Psychiatry,693
1851,River Valley Health Fredericton Predoctoral Internship in Clinical Psychology/ Psychology,5
2104,"Rocky Mountain Behavioral Healthcare /Kenneth Bell, Ph.D.",472
2151,Rogers Memorial Hospital /Rogers Center for Research and Training ,140
1264,Rush University Medical Center/Department of Behavioral Sciences,136
