"","Display Id","APPIC Member Number:","Program Type:","Last Modified by Member:","Site:","Department:","Address:","Country:","Metro Area:","Distance from Major City:","Phone:","Fax:","Email:","Web Address:","Brochure Website's Address:","Primary Agency Type:","Additional Agency Types:","Member of APPIC since:","APA Accreditation","CPA Accreditation","Training Director & Lead / Director:","Chief Psychologist:","Number of Full-Time Licensed Doctoral Psychologists on Staff/Faculty","Number of Part-Time Licensed Doctoral Psychologists on Staff/Faculty","Start Date:","Number of Full Time Slots Expected Next Class:","Number of Part Time Slots Expected Next Class:","Fringe Benefits:","Other Fringe Benefits (not indicated above):","Brief description of the typical work day for an intern at this training site","Is this program fully affiliated with one or more doctoral programs?","Is this program partially affiliated with one or more doctoral programs?","Accepting Applicants:","Application Due Date:","Application Due Date Time Zone:","This program uses the AAPI:","An onsite interview is:","Interview notification date:","Interview notification date time zone:","Tentative interview date:","Interview process description:","How to obtain application info:","Preferred method of contacting the program:","We have matched with interns from these programs:","US Citizenship Required:","Canadian Citizenship Required:","Masters Degree Required:","Comprehensive Exams Passed:","Dissertation Proposal Approved:","Dissertation Defended:","Minimum Number of AAPI Intervention Hours:","Minimum Number of AAPI Assessment Hours:","Minimum Number of Years of Grad Training Required:","Clinical Psychology","Counseling Psychology","School Psychology","APA-Accredited","CPA-Accredited","Non-Accredited","Ph.D Degree","Psy.D. Degree","Ed.D. Degree","This institution, department, internship, or postdoctoral program requires trainees to sign a statement
            about personal behavior and/or religious beliefs as a condition of admission and/or retention in the program:","How to obtain text of statement:","Other Requirements:","Children:","Adolescents:","Adults:","Family:","Older Adults:","Inpatients:","Outpatients:","Gay/lesbian/bisexual/transgender:","Ethnic minorities:","Spanish-speaking:","French-speaking:","Deaf/Hearing-impaired:","Students:","International Students:","Rural:","Urban:","Low income:","Homelessness:","Other:","Assessment:","Individual Therapy:","Couples Therapy:","Family Therapy:","Group Therapy:","Community Intervention:","Consultation/Liaison:","Crisis Intervention:","Brief Psychotherapy:","Long-term Psychotherapy:","Cognitive Rehabilitation:","Primary Care:","Evidenced Based Practice:","Evidence Based Research:","Supervision of Practicum students :","Other:","Health Psychology:","Women's Health:","HIV/AIDS:","Eating Disorders:","Sexual Disorders:","Sports Psychology:","Rehabilitation Psychology:","Physical Disabilities:","Learning Disabilities:","Developmental Disabilities:","Assessment:","Neuropsychology-Adult:","Neuropsychology-Child:","Serious Mental Illness:","Anxiety Disorders:","Trauma/PTSD:","Sexual Abuse:","Substance Use Disorders:","Forensics/Corrections:","Sexual Offenders:","Geropsychology:","Pediatrics:","School:","Counseling:","Vocational/Career Development:","Multicultural Therapy:","Feminist Therapy:","Religion/Spirituality:","Empirically-Supported Treatments:","Public Policy/Advocacy:","Program Development/Evaluation:","Supervision:","Research:","Administration:","Integrated health care - primary:","Integrated health care - specialty:","Other:","Description","Full Time - High","Full Time - Low","Part Time - High","Part Time - Low"
"125","614","1861","Internship","2015-05-30 16:31:59.000","Concordia University Psychology Internship Programme","Psychology","7141 Sherbrooke Street West 
            
            
            
            Montreal, Quebec H4B 1R6","Canada","Montreal (Laval) 
             
             Not Applicable","","514-848-2424x2248","514-848-","roisin.oconnor@concordia.ca","http://psychology.concordia.ca/graduateprograms/informationforcurrentstudents/cupipdocuments/index.php","","Academic Health Center","Child/Adolescent Psychiatric or Pediatrics","2012  Year","Not Accredited","Accredited","Roisin O'Connor PhD","Roisin O'Connor PhD","19","20","1/9/2016","4","0","Professional Development Time,
              
              
                  
              Vacation","",NA,"No","No","Yes","12/1/2015 11:59 PM","Eastern Standard Time","Yes","Required","12/19/2015","Eastern Standard Time",""," Interviews should take place between December 5th, 2015 and January 24th, 2016. The McGill University Health Centre sites will contact applicants directly to set up interviews. This internship site is ONLY available to students enrolled in the Clinical Psychology Program of Concordia University (Montreal, Qc.).","Visit Website","Visit Website","","No","Yes","Yes, by application deadline","Yes, by application deadline","Yes, by start of internship","No","","","","Preferred","None","None","None","Preferred","None","Preferred","None","None","No","","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","","","","","","Yes","","","","Yes","Yes","","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","","","","","Yes","","","","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","Yes","","","","","","","Yes","","","Yes","Yes","","","","","The Concordia University Psychology Internship Programme (CUPIP) is dedicated to the provision of high quality training in the delivery of psychological services to students from the Clinical Psychology programme at Concordia University.  CUPIP is exclusively affiliated with the doctoral training programme in clinical psychology at Concordia University.","20000","20000",NA,NA
"126","528","2225","Internship","2015-05-19 08:53:32.000","Conemaugh Memorial Medical Center","Family Medicine","1086 Franklin Street 
            
            
            
            Johnstown, Pennsylvania 15905","United States","Not Applicable
             
             Pittsburgh, PA","60 miles east of Pittsburgh","814-534-9786x","814-534-3136","IBaker@conemaugh.org","http://www.conemaugh.org","http://www.conemaugh.org","Academic Health Center","Academic Health Center






Private General Hospital","2012  Year","Not Accredited","Not Accredited","Raymond Hornyak","Ryan Dunne Suffix","2","0","07/01/2016","2","0","Comp Time ,
              
            
              Dissertation Release Time,
              
            
              Dental Insurance,
              
            
              Disability Insurance,
              
            
              Health Insurance,
              
              
            
              Life Insurance,
              
            
              Professional Development Time,
              
            
              Sick Leave,
              
                  
              Vacation","Additional funding available to present at regional/national conferences",NA,"No","No","Yes","12/04/2015 11:59 PM","Eastern Standard Time","Yes","Preferred","12/18/2015","Eastern Standard Time","1/2016","Interview with training director and chief psychologist. Meet with current interns. Phone/skype/facetime interviews may be available due to distance/time constrants/weather.","Email the Program","Email the Program","","Yes","No","No","Yes, by application deadline","Yes, by start of internship","No","","","","Acceptable","Acceptable","Acceptable","Preferred","Acceptable","Acceptable","Acceptable","Acceptable","Acceptable","No","N/A","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","The pre-doctoral internship in behavioral health/primary care psychology provides an opportunity to work in an integrated care setting (community hospital) with family medicine resident physicians and other health care professionals, and a hospital inpatient and outpatient mental health population, Interns gain experience as part of an integrated healthcare team, assessing health risk, providing psychology assessments and group/individual therapy for patients with multiple health and/or mental health issues. While serving a general population, there is an emphasis on special populations, including patients with HIV, pediatrics, diabetes, heart disease, cardiac, Free Clinic, and bariatric surgery. There are opportunities for inpatient consultation-liaison, treatment of substance abuse (Suboxone program), and teaching. Deadline for applications December 05th 2015. Please contact Irene Baker for application information (814-534-9951; email IBaker@conemaugh.org), or our website  http://www.conemaugh.org/DoctoralPsychologyIntership/","27000",NA,NA,NA
"127","12","1182","Internship","2015-12-20 12:29:30.000","Connecticut Valley Psychology Internship/River Valley Services","Internship","P.O. Box 351 
            
            
              Silver Street 
            
            
            Middletown, Connecticut 06457","United States","Not Applicable
             
             Not Applicable","18 miles south of Hartford, CT; 27 miles NE of New Haven, CT","860-262-5239","860-262-5672","margaret.meskill@ct.gov","http://www.ct.gov/dmhas/rvs/brochure","http://www.ct.gov/dmhas/rvs/brochure","Community Mental Health Center","State/County/Other Public Hospital","1955  Year","Accredited","Not Accredited","Margaret Meskill","Margaret Meskill","6","0","08/19/2016","3","0","Dental Insurance,
              
              
            
              Health Insurance,
              
              
              
            
              Professional Development Time,
              
            
              Sick Leave,
              
                  
              Vacation","5 days educational leave to attend conferences.","Varies, A typical day would contain supervision, a seminar on various topics, meeting with individual clients or doing an assessment/ intake for new clients.","No","No","Yes","12/18/2015 11:59 PM","Eastern Standard Time","Yes","Preferred","12/15/2015","Eastern Standard Time","01/04/2016","Typically interviews are held in the first two weeks of January.  Applicants meet as a group with the Director of Training and then have two individual, 50 minute interviews with members of the training faculty.  There is an hour for applicants to meet wtih current interns.  Generally interview process takes a half-day.  Interveiws are scheduled either 8:30-12pm or 12:30pm-4pm over the course of three days.
The program typically interviews approximately 25 applicants for 3 slots.  Applicants may request to meet with a specific training staff, and all efforts to accomodate the request will be made.  On-site interviews are preferred; it is possible to schedule phone interviews if an in-person time can not be arranged.
Applicants are notified of an offer to interview by December 17, although frequently notification of interview occurs within the first week of December.
 ","Visit Website","Email the Program","University of Ct, University of Hartford, Illinois School of Professional Psychology, American University, Northwestern University, CUNY, City College, Carlos Albizu, Washington State University, California Scholl of Professional Psychology,","Yes","No","No","Yes, by start of internship","No","No","500","100","3","Preferred","Acceptable","None","Preferred","Acceptable","None","Preferred","Acceptable","None","No","","","","","Yes","","","Yes","Yes","Yes","Yes","","","","","","","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","Yes","","","","","","","","","","","Yes","","Yes","","","Yes","","Yes","Yes","Yes","Yes","","","","","","","Yes","","","Yes","Yes","Yes","","Yes","","","","","The following is taken from the program web site at:http://www.ct.gov/dmhas/rvs/brochure","50743",NA,NA,NA
"128","506","1721","Internship","2015-05-20 14:40:25.000","Consortium of the Clifford Beers Clinic and the Post Traumatic Stress Center","Psychology Training","93 Edwards Street 
            
            
            
            New Haven, Connecticut 06511","United States","Not Applicable
             
             New York-Northern New Jersey-Long Island, NY-NJ-PA","80 miles northeast of New York City","203-772-1270x1204","203-772-0051","rpajo@cliffordbeers.org","http://www.cliffordbeers.org","http://www.cliffordbeers.org","Consortium","Community Mental Health Center  











Other","2000  Year","Not Accredited","Not Accredited","Ragne Pajo Psy.D.","Christine Payne Ph.D.","4","0","09/01/2016","5","0","Health Insurance,
              
              
              
              
            
              Sick Leave,
              
                  
              Vacation","This site has a generous vacation and sick leave policy: 15 vacation days and 5 sick days in addition to 11 paid clinic holidays.",NA,"No","No","Yes","11/15/2015 11:59 PM","Eastern Standard Time","Yes","Required","12/15/2015","Eastern Standard Time","01/06/2016","We will contact by phone to conduct a preliminary phone screening and schedule in person interviews. Interviews include rotating between group and individual interview with suprvisors and current post doc/interns. Skype interviews may be available upon request.","Visit Website","Email the Program","","No","No","Yes, by application deadline","Yes, by application deadline","Yes, by start of internship","No","500","","3","Preferred","Acceptable","Acceptable","Preferred","Acceptable","Acceptable","Acceptable","Preferred","Acceptable","No","",NA,"Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","","","Yes","","","Yes","Yes","Yes","Note that we have a child and adult track. Child track does not include adult psychotherapy except for parenting sessions and a small number of young adults (18 to early twenties) served at the clinic.Adult track is heavily arts and drama therapy oriented.","","Yes","","Yes","","Yes","","Yes","","Yes","","","Yes","","","Intake interviews and reports, short measures for baseline and follow-up data","","","","","","","","","","","","","","Yes","Yes","Yes","Yes","","","","","","","","","Yes","","","Yes","","","","","","","","Art and drama therapy at Adult Track only","The Child Track is a community mental health setting with significant focus on trauma treatment among other psychiatric issues affecting youth. About 70% of the youth served report some type of trauma history.","25000","25000",NA,NA
"129","532","2242","Internship","2016-06-29 15:16:09.000","Corizon Behavioral Health at Wabash Valley Correctional Facility","Behavioral Health","6908 S. Old US Highway 41 
            
            
              P.O. Box 500 
            
            
            Carlisle, Indiana 47838","United States","Not Applicable
             
             Not Applicable","40 miles south of Terre Haute, IN","812-398-5050x3168","812-398-2045","bhuffey@idoc.in.gov","","","Prison or Other Correctional Facility","","2012  Year","Not Accredited","Not Accredited","Bradley Huffey","Mary Ruth Sims","2","2","07/01/2016","2","0","Dental Insurance,
              
              
            
              Health Insurance,
              
              
              
              
            
              Sick Leave,
              
                  
              Vacation","","The typical work day includes a combination of direct clinical contact (individual and group) with offenders in the general population, restricted housing unit, and special needs unit. Each area also has multi-disciplinary team meetings. Throughout the week there are four hours of individual/group supervision and two hours of didactics. Interns also do consultation and educational trainings for correctional staff.","No","No","Yes","11/15/2016 11:59 PM","Eastern Standard Time","Yes","Preferred","12/01/2015","Eastern Standard Time","12/15/2016","Interviewees will be notified by phone of the invitation for onsite interviews by 12/1/16. Requests to meet with specific staff will not be necessary since all staff will be a part of the interview process. Phone follow up with specific staff members is allowable.
The first phase of interviews will take place December 15 and 16, 2016 (Thursday/Friday), and January 13, 2017 (Friday). The interview will occur with as many as six intern applicants and will include: a group tour of the facility with current interns and training director, lunch with supervising psychologists, and six individual meetings (20 minutes each) with psychologists, prison administrators/health care administrator, current and past interns, other behavioral health trainees, and Master's and Bachelor's level behavioral health staff members. Interviewees will also take an oral swab drug screen during the interview, in addition to completing criminal background check forms. Driver's license and social security cards must be brought to the interview due to the criminal background check.
Interviews will begin at 9:20 am and will conclude no later than 2:30 pm on site. Please check this information frequently because interview dates are subject to change.","Email the Program","Email the Program","Indiana University - Counseling Psychology (Ph.D.)
Indiana State University - Counseling Psychology (Ph.D.)
Arizona School of Professional Psychology (Psy.D.)
Chicago School of Professional Psychology (Psy.D.)
California School of Professional Psychology at Alliant (Psy.D.)
Illinois School of Professional Psychology at Schaumberg (Psy.D.)
Chicago School of Professional Psychology-Los Angeles (Psy.D.)","Yes","Yes","No","Yes, by application deadline","Yes, by application deadline","No","","","","Acceptable","Acceptable","Acceptable","Preferred","None","Acceptable","Acceptable","Acceptable","Acceptable","No","","","","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","Yes","Yes","","","Yes","","Yes","Yes","Yes","Yes","","","","","Yes","","","","","","","","","","","Yes","","","","Yes","Yes","Yes","","","Yes","Yes","","","","","","","","","","","","Yes","","","","","","Please email training director for brochure which contains Program Desription:","34320","34320","0","0"
"130","339","2173","Internship","2015-06-01 11:10:43.000","Corporal Michael J. Crescenz VA Medical Center","Psychology","Mailstop 116 
            
            
              3900 Woodland Ave 
            
            
            Philadelphia, Pennsylvania 19104","United States","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","","215-823-5899x","215-823-4123","Johanna.Klaus@va.gov","http://www.philadelphia.va.gov/Trainee/Psychology_Internship_and_Fellowship_Programs.asp","http://www.philadelphia.va.gov/Trainee/Psychology_Internship_and_Fellowship_Programs.asp","Veterans Affairs Medical Center","","2011  Year","Accredited","Not Accredited","Johanna Klaus Susan Del Maestro","Kenneth Sullivan","45","10","08/07/2016","6","0","Health Insurance,
              
              
            
              Life Insurance,
              
              
            
              Sick Leave,
              
                  
              Vacation","",NA,"No","No","Yes","11/06/2015 11:59 PM","Eastern Standard Time","Yes","Preferred","12/11/2015","Eastern Standard Time","","Applicants are invited for half day interviews that typically occur in early January.  The half-day includes a one hour orientation, 3-4 individual interviews with members of the training committee, and a meet and greet with the current intern class. If applicants are not able to attend an on-site interview, telephone interviews can be arranged.","Visit Website","Email the Program","","Yes","No","No","Yes, by application deadline","Yes, by application deadline","No","400","50","","Acceptable","Acceptable","None","Preferred","None","None","Acceptable","Acceptable","None","No","","","","","Yes","","Yes","Yes","Yes","Yes","Yes","","","","","","","Yes","Yes","Yes","Veterans","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","","Yes","Yes","","Yes","Yes","","","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","","Yes","","","","","","","","Yes","","Yes","Yes","Yes","","Yes","Yes","","The Corporal Michael J. Crescenz  VA Medical Center psychology internship In Philadelphia, PA began in 2011. The program received initial accreditation by the Commission on Accreditation of the American Psychological Association in March, 2013, and the next accreditation site visit will be held in 2020. Six internship slots are available, all general track. Four 6-month rotations will be selected based on intern training needs and interests. One rotation will be working in a patient-centered medical home model of care (Primary Care-Mental Health Integration or Health Promotion/ Disease Prevention) and one rotation will be Evidence-Based Therapies. Other rotations include: PTSD Clinical Team, Inpatient Psychiatry, Comorbid PTSD and Substance Use Disorders, Home-Based Primary Care, Community-Based Outpatient Clinic, Sleep Clinic, Polytrauma and Neuropsychology, and Residential Rehabilitation Treatment Program. Interns will also have an outpatient clinic therapy supervisor throughout the year who will supervise a small caseload of cases from the outpatient mental health clinic. Alternatively, a year-long track in Integrated Behavioral Couples Therapy involving a seminar and supervised practice is available. Interns who do not select the Neuropsychology rotation will have an assessment supervisor and complete at least 3 integrated reports. In addition, all interns participate in 2 hour weekly didactics on a variety of topics, 1 hour weekly group supervision, and monthly journal clubs on assessment and cultural competence. Additional educational opportunities are available throughout the internship. All interns will work with a faculty member and have the ability to conduct a relatively small research project by the end of the training year. The philosophy of our psychology training program is best described as scholar-practitioner. We advocate the integration of clinical research with clinical practice. Our training model is developmental and designed to promote professional competence through a sequence of training experiences that are graded in complexity.","25576",NA,NA,NA
"131","1641","2071","Internship","2015-08-12 07:49:13.000","Correct Care Solutions/Treasure Coast Forensic Treatment Center","Psychology Services","96 SW Allapattah Road 
            
            
            
            Indiantown, Florida 34956","United States","Miami-Fort Lauderdale-Pompano Beach, FL","20 miles southeast of Port St. Lucie, 50 miles north of West Palm Beach","772-597-9508","","msverdlova@correctcarers.com","http://www.correctcarers.com/","http://www.correctcarers.com/","Private Psychiatric Hospital","Psychology Department","2015  Year","Not Accredited","Not Accredited","Maria Sverdlova","Gina Buse","5","1","09/06/2016","3","0","Dental Insurance,
              
            
              Disability Insurance,
              
            
              Health Insurance,
              
              
              
            
              Professional Development Time,
              
            
              Sick Leave,
              
                  
              Vacation","",NA,"No","No","Yes","12/01/2015 11:59 PM","Eastern Standard Time","Yes, with additions","Preferred","12/09/2015","Eastern Standard Time","","On site interview is preferred, but phone or Skype interview will be granted in special circumstances.  The interview and site visit lasts about one and one half hours.  The interview is conducted by the Director of Training and/or other members of the Psychology Department.  Opportunities to meet current interns and other psychologists are available.  There will be a tour of the facility at the end of the interview.","Email the Program","Email the Program","","Yes","Yes","No","Yes, by start of internship","Yes, by start of internship","No","200","100","4","Preferred","Acceptable","None","Preferred","Acceptable","None","Acceptable","Acceptable","None","No","","","","","Yes","","Yes","Yes","","Yes","Yes","Yes","","Yes","","","Yes","Yes","Yes","Yes","","Yes","Yes","","","Yes","","","Yes","Yes","","","Yes","","","","","Yes","","Yes","","Yes","","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","","Yes","","","Yes","Yes","Yes","Yes","","","","","","Treasure Coast Forensic Treatment Center (TCFTC) is a 211-bed forensic psychiatric hospital operated by Correct Care, LLC. Residents of TCFTC are adults who have been adjudicated by the court as Incompetent to Proceed (ITP) or Not Guilty by Reason of Insanity (NGRI).Nearly all mental disorders are encountered at TCFTC, though the most frequent diagnoses include schizophrenia, mood disorders, substance abuse or dependence, and/or some type of malingering. TCFTC serves and is sensitive to a multicultural population. A number of forensic and clinical services are provided by the professional staff to facilitate the residents return to court or to the community. Such services include psychological assessments and testing, functional assessments of behavior, various psychotherapeutic groups, rehabilitation programs, competency groups, individual competency sessions and individual therapeutic sessions when deemed appropriate, and competency evaluations.   In addition, the department of forensic services is responsible for providing advisory reports to the court, as well as expert witness testimony.  Psychology staff may also provide testimony in hearings related to medication over objection as needed. Interns are responsible for completing Psychological Assessment Reports and Risk Assessments. They also participate in conducting clinical and forensic psychological tests including those used to assess for malingering. Furthermore, interns are trained to conduct both psychotherapeutic and competency groups as well as individual competency sessions. Interns may assist their supervising psychologist in assessing competency using the Competency Assessment Tool (CAT), as well as preparing other types of status reports to the court. Interns may also have the opportunity to go to court with their supervisor for Competency Hearings and Medication Court.","15953",NA,NA,NA
"132","161","1211","Internship","2016-06-29 13:33:56.000","CorrectCare, LLC/ South Florida State Hospital","Department of Psychology","800 East Cypress Drive 
            
            
            
            Pembroke Pines, Florida 33025","United States","Miami-Fort Lauderdale-Pompano Beach, FL","17 miles east of Fort Lauderdale, FL and about 18 miles north of Miami, FL","954-392-3000x3120","954-392-3345","sschmitt@correctcarers.com","http://www.correctcarers.com >LOCATIONS> SOUTH FLORIDA STATE HOSPITAL>ACCREDITATION","http://ccrs.wpengine.com/wp-content/uploads/2014/10/SFSH-internship-brochure-2014-2015.pdf","State/County/Other Public Hospital","","2002  Year","Accredited","Not Accredited","Sheila Schmitt","Sheila Schmitt","6","1","08/07/2017","3","0","Dental Insurance,
              
            
              Disability Insurance,
              
            
              Health Insurance,
              
              
              
            
              Professional Development Time,
              
              
                  
              Vacation","Free lunch at hospital's cafeteria","Although it is difficult to describe a typical work day in our setting, on a weekly basis, psychology interns provide a wide breadth of clinical activities, including individual and group psychotherapy, initial and annual psychological assessments, participation in multidisciplinary treatment teams, consultations with the various treatment teams, and activities specific to their 16-week rotation (i.e., forensic, assessment and specialized behavior plan).","No","No","Yes","12/01/2016 11:59 PM","Eastern Standard Time","Yes, with additions","Preferred","12/15/2015","Eastern Standard Time","","Selected applicants are invited to interview during the month of January, usually Monday and Wednesday mornings.  The interview lasts approximately 2-3 hours. The applicants first meet with the current post-doctoral resident as a group to have a general orientation about the program and site.  Then, each applicant meets individually with various staff psychologists. Finally, the group of applicants meets with a current psychology intern for a Q&A session and a tour of the facility.
 ","Visit Website","Email the Program","Nova Southeastern University, University of Miami, Emory University, University of North Carolina at Greensboro, Purdue University, Indiana State University, Georgia State University, Florida State University, University of LaVerne, Argosy University at: Phoenix, Orange County, Washington DC, and Georgia, Carlos Albizu University.","Yes","No","No","Yes, by ranking deadline","No","No","400","75","3","Acceptable","Acceptable","None","Preferred","None","None","Acceptable","Acceptable","None","No","","","","","Yes","","Yes","Yes","","Yes","Yes","Yes","","Yes","","","","","Yes","Yes","","Yes","Yes","","","Yes","","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","Yes","Yes","Yes","","Yes","Yes","Yes","","Yes","Yes","","","","","","","Yes","","","Yes","","Yes","Yes","","Yes","","","","This internship is accredited by the American Psychological Association and adheres to the Scholar-Practitioner model of training. It is the goal of the program to help interns to become competent and knowledgeable psychologists working with a severely mentally ill adult inpatient population. Although the majority of individuals carry diagnoses of schizophrenia or some other thought disorder, individuals with diagnoses of substance-related, mood, anxiety, and/or personality disorders are also well represented. The facility provides treatment using a multidisciplinary psychiatric rehabilitation model. The clinical training provides each intern with a unique opportunity to gain practical experience in assessment and intervention with a diverse patient population. Goals of the program include increasing awareness of and sensitivity to the cultural, social and psychological needs of special populations while learning to adapt traditional approaches to meet these needs. Interns will be afforded the opportunity to participate in a variety of treatment modalities while receiving direct supervision and formal didactic training. Interns will have a minimum of two hours of individual supervision with licensed psychologists as well as group supervision, a weekly case conference meeting, a weekly didactic seminar and a weekly DBT consultation meeting. In addition to the more generalist training experiences, interns will participate in each of the three following rotations: (1) Forensic (2) Psychological Assessment and (3) Specialized Behavior Plan. All interns will co-lead Dialectical Behavior Therapy (DBT), psychoeducational , and forensic groups. They will also design and implement behavior plans, conduct individual therapy, and complete forensic, intellectual and personality assessments. Interns will also participate in multidisciplinary treatment team meetings.","18180",NA,NA,NA
"133","287","1858","Internship","2016-05-16 10:59:20.000","Correctional Service of Canada","Psychology","CSC Regional headquarters (Ontario) 
            
            
              Westlake Hall 
            
            
              466 Union St West 
            
            Kingston, Ontario K7L 4Y8","Canada","Not Applicable
             
             Not Applicable","250 km east of Toronto","613-536-4875x","613-545-1876x","dorothy.cotton@csc-scc.gc.ca","http://www.csc-scc.gc.ca/careers/003001-9000-eng.shtml","","Prison or Other Correctional Facility","Prison or Other Correctional Facility 



Psychology Department","2012  Year","Not Accredited","Accredited","Dorothy Cotton","Yolanda Fernandez","30","0","09/06/2016","2","0","Professional Development Time,","4% in lieu of benefits","highly variable day of assessments (including cognitive, risk, assessment for treatment, suicide, segregation etc) and interventions including individual and group psychotherapy and counseling, crisis intervention. Often unpredictable!","No","No","Yes","11/15/2016 11:59 PM","Eastern Standard Time","Yes","Preferred","12/09/2016","Eastern Standard Time","01/18/2016","Interviews  are held in Kingston , Ontario. However candidates may opt to participate by videolink if they prefer. Interviews are generally competency based, and include disucssion of case formulation and ethical awareness. Canaidates are able to meet informally with the Internship Coordinator as well as current and past interns. Interviews are conducted by a panel of 2-3 supervisors. ","Email the Program","Email the Program","UGuelph, U Sask, UCalgary, UAlberta, OISE, Western, Alliant, Chicago School, UManitoba,","No","Yes","No","Yes, by application deadline","Yes, by application deadline","No","","","3","Preferred","Acceptable","None","Acceptable","Preferred","None","Acceptable","Acceptable","Acceptable","No","","some demonstrated interest in correctional forensic psychology--may be evident through coursework, previous practica or work experience, dissertation topic.","","","Yes","","Yes","","","","Yes","","","","","","","","Yes","","offenders","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","Yes","","Yes","","","Yes","","Yes","Yes","","","","","Interns also have the opportunity to participate in a range of correctional psychology activities including assessment for risk of violence, sex offender assessment, assessments for suicide and self harm, and interventions directed at criminogenic needs."," ","47000","45000",NA,NA
"134","691","1578","Internship","2016-06-01 20:51:59.000","Cypress-Fairbanks Independent School District","Psychological Services","CFISD Psychological Services 
            
            
              22602 Northwest Fwy. 
            
            
              Cy-Fair Annex 
            
            Cypress, Texas 77429","United States","Houston-Sugar Land-Baytown, TX","20 miles northwest of downtown Houston, TX","281-807-8180","281-807-8183","jamie.griffin@cfisd.net","http://www.cfisd.net/en/about/know-your-district/departments/psychological-services/","","School District","","1992  Year","Accredited","Not Accredited","Jamie Griffin","Traci Schluter","9","3","08/01/2017","8","0","Dissertation Release Time,
              
            
              Dental Insurance,
              
              
            
              Health Insurance,
              
              
            
              Life Insurance,
              
            
              Professional Development Time,
              
            
              Sick Leave,","Laptop/tablet, clerical staff, mileage reimbursement","A typical week for an intern would include four days of providing psychological services in various school settings (including at least one elementary school, middle school and high school) and one day (Friday) dedicated to intern training as a group.  Training opportunities will vary based on the individual goals of the intern, but each intern will have at least one day of experience at each level of schools weekly.  Interns will spend Monday through Thursday providing psychological services to campuses that may include consultation, counseling, assessment, and crisis prevention/response.  Wednesday evenings are dedicated to Family Interaction Training Clinic.  Fridays are dedicated to group supervision, colloquiums, research and additional professional development opportunities.","No","No","Yes","11/04/2016 11:59 PM","Central Standard Time","Yes","Required","12/02/2016","Central Standard Time","","Interviews will take place at CFISD during the first few weeks of January.Please plan on spending at least four hours with us. If you are interviewing before lunch, you will begin your day with us at 8am for a brief presentation and Q&A session with the current interns, designed to help you learn more about our internship program and district. In between (or after) this orientation and your interviews, you will be taken on a tour of campuses within our district and spend time with current interns and staff. At noon, you will be provided lunch and the opportunity to visit with available department staff and interns. If you are interviewing after lunch, please join us for lunch at noon (our treat). Your orientation will begin at 1pm. The remainder of your afternoon will be spent in the interview, campus tour, and visits with staff (as detailed above). During your interview time, we will ask to take a photo of you in order to assist us in remembering you after we have conducted all interviews. You may, however, elect not to have your photo taken if you choose. This choice will have no impact on your interview or status.","Visit Website","Email the Program","","Yes","No","No","Yes, by start of internship","Yes, by start of internship","No","400","400","4","Acceptable","Acceptable","Preferred","Preferred","None","None","Preferred","Acceptable","None","No","","The state of Texas requires a background check and fingerprinting before working within the public schools.","Yes","Yes","","Yes","","","Yes","Yes","Yes","Yes","","Yes","Yes","","","Yes","Yes","Yes","","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","","","","Yes","Yes","","","","","","","","","","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","","Yes","","","","","Yes","Yes","","","","","Yes","Yes","Yes","","Yes","Yes","","","","Please go to our web site that describes the department and detailed information about the intern training program. The District's Home page will give information about the school district, population, and area. Website is located at: http://www.cfisd.net/en/about/know-your-district/departments/psychological-services/#internship","23600",NA,NA,NA
