"","display_id","site_name","primary_agency_type","address","web_url","apa_accred","number_of_slots","high_stipend","appi_intervention_hours","appi_assess_hours","chance_of_interview","chance_of_intership"
"457",1561,"Bath VA Medical Center","Veterans Affairs Medical Center","76 Veteran's Ave Bath, New York 14810","http://www.bath.va.gov/about/Psychology_Internship_at_Bath_VA_Medical_Center.asp","Not Accredited",2,24566,400,100,0.7,0.29
"469",679,"Bay Pines VA Healthcare System","Veterans Affairs Medical Center","116B Psychology Internship Training ProgramP.O. Box 5005Bay Pines, Florida 33744","http://www.baypines.va.gov/clinemp/PsychologyCareer/","Accredited",7,23974,400,400,0.35,0.14
"481",68,"Baycrest","Academic Health Center","3560 Bathurst Street Toronto, Ontario M6A 2E1","http://www.baycrest.org/neuropsychology","Not Accredited",2,29100,0,0,0.76,0.12
"493",163,"Baylor College of Medicine","Medical School","One Baylor Plaza, BCM 350 Houston, Texas 77030","https://www.bcm.edu/departments/psychiatry-and-behavioral-sciences/education/psychology-internship","Accredited",4,27000,0,0,0.34,0.14
"505",459,"Baylor College of Medicine/Texas Children's Hospital","Child/Adolescent Psychiatric or Pediatrics","6701 Fannin St. CC1630 Houston, Texas 77030-2399","http://www.bcm.edu/pediatrics/psychology/education","Accredited",5,27000,0,0,0.18,0.16
"517",1655,"Baylor University Counseling Center","University Counseling Center","One Bear Place #97060 Waco, Texas 76798-7060","http://www.baylor.edu//counseling_center/","Not Accredited",2,27500,250,0,0.56,0.2
"529",162,"BC Children's Hospital","Child/Adolescent Psychiatric or Pediatrics","950 28th Street Vancouver, British Columbia V5Z4H4","http://www.bcchildrens.ca/Services/ClinicalDiagnosticFamilyServices/Psychology","Not Accredited",2,30000,150,150,0.29,0.12
"541",521,"Bexar County Juvenile Probation Department","Prison or Other Correctional Facility","301 E. Mitchell St. San Antonio, Texas 78210","http://www.bexar.org/jpd/residency.html","Accredited",6,25000,500,60,0.47,0.38
"553",1498,"Biola University","University Counseling Center","12625 La Mirada Blvd. Suite 202 La Mirada, California 90638","http://www.biolacounselingcenter.org","Not Accredited",4,26520,0,0,0.47,0.25
"565",410,"Boise Veterans Administration Medical Center","Veterans Affairs Medical Center","500 W. Fort Street Boise, Idaho 83702","http://www.boise.va.gov/resources/BoiseVAMC_psychology_training.asp","Accredited",4,23974,350,100,0.28,0.11
"577",419,"Boston University Medical Campus/The Center for Multicultural Training in Psychology","Medical School","85 E. Newton Street, M-912 Boston, Massachusetts 02118-2393","http://www.cmmh-cmtp.org","Accredited",6,26208,552,0,0.47,0.06
"589",839,"Bowling Green State University","University Counseling Center","104 College Park Bowling Green , Ohio 43403","http://www.bgsu.edu/counseling-center/doctoral-internship.html","Accredited",4,21996,450,0,0.48,0.11
"601",1356,"Brattleboro Retreat","Private Psychiatric Hospital","1 Anna Marsha Lane, P.O. Box 803 Brattleboro, Vermont 05302","http://www.brattlebororetreat.org/psychology-internship-program","Not Accredited",2,23000,500,100,0.47,0.13
"613",94,"Bridge View Day Treatment School/Challenger Day Treatment","Other","6935 Touhy Ave Niles, Illinois 60714","http://www.bvcschools.org","Not Accredited",3,22000,0,0,0.54,0.12
"625",731,"Brigham Young University","University Counseling Center","1500 Wilkinson Student Center Provo, Utah 84602-7906","https://caps.byu.edu/apa-internship-home","Accredited",4,33555,600,0,0.57,0.17
"637",73,"British Columbia Mental Health & Substance Use Services","Other","Forensic Psychiatric Hospital70 Colony Farm RoadPort Coquitlam, British Columbia V3C 5X9","http://www.bcmhsus.ca/forensic-psychiatric-services","Not Accredited",2,32000,250,100,0.62,0.25
"649",480,"Bronx VA Medical Center","Veterans Affairs Medical Center","130 W. Kingsbridge Road Bronx, New York 10468","http://www.bronx.va.gov/careers/psychology_internship_program.asp","Accredited",8,27031,0,0,0.31,0.15
"661",785,"Brooke Army Medical Center","Armed Forces Medical Center","ATTN: MCHE-BM3551 Roger Brooke Drive, Bldg 3528RJoint Base San Antonio - Fort Sam Houston, Texas 78234","http://www.bamc.amedd.army.mil/staff/education/allied-health/behavioral-medicine/clinical-psychology","Accredited",6,64040,600,100,0.98,0.14
"673",700,"Broughton Hospital","State/County/Other Public Hospital","1000 S. Sterling Street Morganton, North Carolina 28655-3999","http://www2.ncdhhs.gov/dsohf/broughton/","Accredited",4,25648,200,100,0.64,0.09
"685",124,"Butler University","University Counseling Center","530 W. 49th Street Indianapolis, Indiana 46208-3485","http://www.butler.edu/ccs","Accredited",3,23200,400,0,0.22,0.12
"697",51,"Calgary Clinical Psychology Residency","Psychology Department","Psychology Services - Foothills Medical Centre1403 - 29th St. N.W.Calgary, Alberta T2N 2T9","http://www.albertahealthservices.ca/5442.asp","Not Accredited",6,31205,0,0,0.34,0.2
"709",863,"California Department of State Hospitals","Prison or Other Correctional Facility","1600 California DriveP. O. Box 2297Vacaville, California 95696-2297","http://www.dsh.ca.gov/Vacaville/PsychologyInternshipProgram.asp","Accredited",3,41976,150,150,0.24,0.15
"721",1663,"California Pacific Medical Center","Private General Hospital","2323 Sacramento St. 2nd Floor San Francisco, California 94115","http://www.cpmc.org/professionals/psychology/","Accredited",10,25000,500,0,0.33,0.2
"733",627,"California Psychology Internship Consortium DSH-Coalinga Porterville Developmental Center San Quentin State Prison State Center Community College District Sutter Center for Psychiatry Psychological Services Center","Consortium","5130 E. Clinton Way California, California 93727","http://www.alliant.edu/cspp/programs-degrees/internships-cpic/index.php","Accredited",18,40700,800,100,0,0
"745",1607,"California State University San Marcos","University Counseling Center","333 S. Twin Oaks Valley Road San Marcos, California 92096-0001","http://www.csusm.edu/shcs","Not Accredited",3,24480,450,0,0.59,0.12
"757",236,"California State University, Fullerton Counseling and Psychological Services","University Counseling Center","SHCC-East BuildingPO Box 6830Fullerton, California 92834","http://www.fullerton.edu/shcc/caps/","Accredited",3,23088,500,0,0.27,0.08
"769",296,"California State University, Long Beach","University Counseling Center","Brotman Hall 2261250 Bellflower Blvd.Long Beach, California 90840","http://www.csulb.edu/caps","Accredited",3,27396,500,0,0.23,0.09
"781",271,"California State University, Northridge","University Counseling Center","18111 Nordhoff St.Bayramian Hall, Suite 520Northridge, California 91330-8217","http://www.csun.edu/counseling","Accredited",3,23676,500,0,0.24,0.09
"793",376,"Cambridge Health Alliance /Harvard Medical School","Academic Health Center","1493 Cambridge Street Cambridge, Massachusetts 02139","http://www.challiance.org/Academics/InternshipProgram.aspx","Accredited",9,23500,150,100,0.19,0.16
"805",461,"Canandaigua VA Medical Center","Veterans Affairs Medical Center","400 Fort Hill Ave Canandaigua, New York 14424","http://www.canandaigua.va.gov/","Not Accredited",2,24560,250,100,0.55,0.09
"817",91,"Canvas Health, formerly known as Human Services Inc. (HSI)","Community Mental Health Center","7066 Stillwater Boulevard North Oakdale, Minnesota 55128","http://www.canvashealth.org","Accredited",3,22000,300,200,0.33,0.08
"829",374,"Captain James A Lovell Federal Healthcare Center","Veterans Affairs Medical Center","3001 Green Bay Road North Chicago, Illinois 60064","http://www.lovell.fhcc.va.gov/careers/psychIntership/Psychology_Internship_Program.asp","Accredited",6,26271,600,100,0.46,0.08
"841",896,"Carle Foundation Hospital/Carle Physicians Group","Private General Hospital","1701 W. Curtis Rd. Champaign, Illinois 61822","http://www.carle.org","Not Accredited",3,24000,200,50,0.48,0.12
"853",465,"Carson Center for Human Services, a Program of Behavioral Health Network (BHN)","Community Mental Health Center","77 Mill Street, Suite 251 Westfield, Massachusetts 01085","http://carsoncenter.org","Accredited",0,0,500,100,0.35,1
"865",489,"Casa Pacifica","Child/Adolescent Psychiatric or Pediatrics","1722 S. Lewis Rd. Camarillo, California 93012","http://www.casapacifica.org","Accredited",7,28000,500,100,0.25,0.18
"877",502,"Case Western Reserve University","University Counseling Center","Sears 20110900 Euclid AvenueCleveland, Ohio 44106-7046","http://studentaffairs.case.edu/counseling/training/psychintern.html","Not Accredited",2,23000,0,0,0.67,0.08
"889",1491,"Catholic Charities of the Archdiocese of Denver","Community Mental Health Center","Regina Caeli Clinical Services8 West Dry Creek CircleSuite 206 Littleton, Colorado 80120-8082","http://www.rccsdenver.org","Not Accredited",2,24000,500,200,0.36,0.2
"901",883,"Catholic Diocese of Arlington","Other","200 North Glebe Rdsuite 250Arlington,, Virginia 22203","http://Www.ccda.net","Not Accredited",2,25000,400,0,0.54,0.29
"913",269,"Center for Behavioral Medicine (formerly Western Missouri Mental Health Center)","State/County/Other Public Hospital","1000 E. 24th Street Kansas City, Missouri 64108","http://www.cbm-psychologytraining.com","Accredited",3,20935.62,500,90,0.46,0.1
"925",522,"Central Alabama Veterans Health Care System","Veterans Affairs Medical Center","2400 Hospital RdBuilding 4A-2nd Floor, Room 209Tuskegee, Alabama 36083","http://www.psychologytraining.va.gov/tuskegee/","Accredited",4,23974,0,0,0.7,0.1
"937",120,"Central Arkansas Veterans Healthcare System","Veterans Affairs Medical Center","2200 Fort Roots Drive (116B/NLR)Building 89, Office 206ANorth Little Rock, Arkansas 72114","http://www.littlerock.va.gov/careers/psychology/internship/overview.asp","Accredited",7,22898,300,150,0.21,0.2
"949",388,"Central Regional Hospital","State/County/Other Public Hospital","300 Veazey Road Butner, North Carolina 27509","http://www.ncdhhs.gov/dsohf/services/crh/contacts.htm","Accredited",4,25648,450,50,0.38,0.07
"961",617,"Central Texas Internship in Clinical and Forensic Psychology","Prison or Other Correctional Facility","Rockdale Regional Juvenile Justice Center696 North F.M 487Rockdale, Texas 76567","","Not Accredited",4,21000,0,0,0,0
"973",122,"Central Texas Veterans Health Care System","Veterans Affairs Medical Center","1901 Veterans Memorial Drive116BTemple (& Waco, Austin), Texas 76504","http://www.centraltexas.va.gov/services/Psychology.asp","Accredited",6,23974,400,200,0.29,0.13
"985",709,"Central Washington University","University Counseling Center","400 E. University Avenue Ellensburg, Washington 98926-7585","http://www.cwu.edu/~shcc/cms/index.php?page=doctoral-internship","Accredited",3,22000,500,0,0.43,0.07
"997",1588,"CHAC (Community Health Awareness Council)","Community Mental Health Center","590 W. El Camino Real Mountain View, California 94040","http://www.chacmv.org","Accredited",4,24200,0,0,0.68,0.2
"1009",214,"Charles George VA Medical Center","Veterans Affairs Medical Center","1100 Tunnel Road Asheville, North Carolina 28805","http://www.asheville.va.gov/services/psychology.asp","Accredited",3,23974,400,100,0.18,0.12
"1021",293,"Charleston Consortium Internship","Consortium","67 President StMSC 861Charleston, South Carolina 29425-0742","http://academicdepartments.musc.edu/psychology_internship/index.htm","Accredited",19,23974,0,0,0.41,0.16
"1033",243,"Chehalem Youth and Family Services","Child/Adolescent Psychiatric or Pediatrics","504 Villa Road, Suite 3501 E. First StreetNewberg, Oregon 97132","http://www.cyfs.net and www.chehalemcounseling.com","Not Accredited",3,20000,400,50,0.76,0.08
"1045",110,"Cherokee Health Systems","Community Health Center","2018 Western Ave Knoxville , Tennessee 37921","http://www.cherokeehealth.com","Accredited",4,23660,500,75,0.25,0.12
"1057",247,"Chestnut Hill College Internship Consortium","Consortium","9601 Germantown Avenue Philadelphia, Pennsylvania 19118","http://www.chc.edu/psyd/consortium","Not Accredited",10,22500,0,0,0.67,0.38
"1069",1459,"Cheyenne Veterans Affairs Medical Center","Veterans Affairs Medical Center","2360 East Pershing Blvd.Cheyenne, Wyoming 82001","http://www.cheyenne.va.gov/","Accredited",3,24014,350,50,0.6,0.1
"1081",113,"Chicago Area Christian Training Consortium","Consortium","Outreach Community Counseling Center336 Gunderson Drive, Suite BCarol Stream, Illinois 60188","http://www.cactc.org","Accredited",7,23000,500,200,0.49,0.18
"1093",771,"Child and Adolescent Behavioral Health","Community Mental Health Center","4641 Fulton Dr. NW Canton, Ohio 44718","http://www.childandadolescent.org","Accredited",4,20000,100,50,0.21,0.15
"1105",716,"Child and Adolescent Services (CAS)/ University of California, San Francisco/ San Francisco General Hospital","Child/Adolescent Psychiatric or Pediatrics","1001 Potrero Avenue Box 0852San Francisco, California 94110","http://psych.ucsf.edu/sfgh/casmctp","Accredited",9,22920,0,0,0.19,0.14
"1117",562,"Child and Family Guidance Center","Community Mental Health Center","9650 Zelzah Avenue Northridge, California 91325-2003","http://www.childguidance.org","Accredited",6,30000,500,200,0.58,0.1
"1129",618,"Child Guidance Center of Southern Connecticut","Child/Adolescent Psychiatric or Pediatrics","103 West Broad Street Stamford, Connecticut 06902","http://www.childguidancect.org","Not Accredited",4,25000,0,0,0.45,0.15
"1141",462,"Children's Hospital Colorado","Child/Adolescent Psychiatric or Pediatrics","13123 East 16th Avenue, B130 Aurora, Colorado 80045","http://www.childrenscolorado.org/departments/psych/fellowships","Accredited",6,25011.13,350,150,0.19,0.12
"1153",448,"Children's Hospital of Eastern Ontario","Child/Adolescent Psychiatric or Pediatrics","401 Smyth Road Ottawa, Ontario K1H 8L1","http://www.cheo.on.ca","Not Accredited",4,31609,300,300,0.53,0.17
"1165",289,"Children's Hospital of Michigan","Child/Adolescent Psychiatric or Pediatrics","3901 Beaubien Blvd. Detroit, Michigan 48201","http://www.childrensdmc.org/Psychologyinternship","Accredited",4,25436,400,400,0.44,0.14
"1177",336,"Children's Hospital of Orange County","Child/Adolescent Psychiatric or Pediatrics","1201 W La Veta St. Orange, California 92868-3874","http://www.choc.org/psychology/index.cfm?id=P00240","Accredited",4,25168,0,0,0.19,0.13
"1189",14,"Children's Hospitals and Clinics of Minnesota","Child/Adolescent Psychiatric or Pediatrics","2525 Chicago Avenue SouthPsychology, 17-217Minneapolis, Minnesota 55404","http://www.childrensmn.org/childpsych/","Accredited",3,26000,200,200,0.32,0.12
"1201",845,"Children's Institute, Inc.","Community Mental Health Center","2121 West Temple Street Los Angeles, California 90026","http://www.childrensinstitute.org","Accredited",7,25000,500,0,0.34,0.21
"1213",34,"Children's Mercy Kansas City","Child/Adolescent Psychiatric or Pediatrics","2401 Gilliham Road Kansas City, Missouri 64108","http://www.childrensmercy.org/apa","Accredited",3,27375,300,200,0.24,0.12
"1225",841,"Children's National Medical Center","Child/Adolescent Psychiatric or Pediatrics","111 Michigan Ave., N. W. Washington, District of Columbia 20010-2970","http://www.childrensnational.org","Accredited",4,25000,0,0,0.24,0.1
"1237",114,"Christian Psychotherapy Services","Private Outpatient Clinic","4460 Corporation Lane Virginia Beach , Virginia 23462","http://www.Christianpsychotherapy.com","Not Accredited",2,18500,500,100,0.1,0.33
"1249",548,"Cincinnati Children's Hospital Medical Center","Child/Adolescent Psychiatric or Pediatrics","3333 Burnet AvenueMLC 3015Cincinnati, Ohio 45229-3039","http://www.cincinnatichildrens.org/education/clinical/specialty/sub-res/beh-med/default/","Accredited",5,24000,400,150,0.25,0.2
"1261",268,"Cincinnati VA Medical Center","Veterans Affairs Medical Center","3200 Vine Street Cincinnati, Ohio 45220-2288","http://www.cincinnati.va.gov/internships/Psychology.asp","Accredited",8,24940,300,0,0.38,0.11
"1273",543,"Citrus Health Network","Community Mental Health Center","4175 W. 20th Avenue Miami, Florida 33012-5875","http://www.citrushealth.com","Accredited",6,18000,0,0,0.34,0.1
"1285",573,"Clemson University","University Counseling Center","Redfern Health CenterPO Box 344022Clemson, South Carolina 29634-4022","http://www.clemson.edu/campus-life/campus-services/redfern/mental-health/index.html","Accredited",3,24072,400,100,0.51,0.09
"1297",657,"Cleveland State University","University Counseling Center","2121 Euclid Ave., 220 Union Bldg. Cleveland, Ohio 44115","http://www.csuohio.edu/counselingcenter","Not Accredited",2,24500,0,0,0.45,0.1
"1309",362,"Clinical Psychology Internship Program at The McGaw Medical Center - Northwestern University","Medical School","710 N. Lake Shore DriveSuite 1205Chicago, Illinois 60611","http://www.clinpsych.northwestern.edu","Accredited",6,27435,0,0,0.21,0.17
"1321",193,"Coatesville VA Medical Center","Veterans Affairs Medical Center","1400 Black Horse Hill Rd. Coatesville, Pennsylvania 19320-2096","http://www.coatesville.va.gov/","Accredited",5,24788,0,0,0.27,0.13
"1333",117,"College of William and Mary Counseling Center","University Counseling Center","240 Blow HallP.O. Box 8795Williamsburg, Virginia 23187-8795","http://www.wm.edu/counselingcenter/training","Accredited",3,29000,400,0,0.27,0.08
"1345",249,"Colorado Department of Corrections","Prison or Other Correctional Facility","Mental Health DepartmentP.O. Box 777Canon City, Colorado 81215-0777","","Not Accredited",7,21708,500,200,0.44,0.14
"1357",455,"Colorado Mental Health Institute at Fort Logan","State/County/Other Public Hospital","3520 West Oxford Avenue Denver, Colorado 80236-9987","https://goo.gl/siOKMH","Accredited",3,33000,400,200,0.37,0.12
"1369",765,"Colorado Mental Health Institute at Pueblo","State/County/Other Public Hospital","Colorado Mental Health Institute at Pueblo1600 West 24th StreetPueblo, Colorado 81003","https://sites.google.com/a/state.co.us/cdhs-behavioral-health/","Accredited",3,32865,500,200,0.41,0.07
"1381",1684,"Colorado Psychology Internship Consortium (CO-PIC)","Consortium","PO Box 2558 Avon, Colorado 81620","http://www.co-pic.org","Not Accredited",3,24000,0,0,0,0
"1393",33,"Colorado State University","University Counseling Center","123 Aylesworth NWCampus Delivery 8010Fort Collins, Colorado 80523-8010","http://www.health.colostate.edu","Accredited",4,24889,600,0,0.41,0.09
"1405",99,"Columbia University Medical Center","Private General Hospital","Neurological Institute, Room #760710 West 168th StreetNew York, New York 10032","http://columbiapsychiatry.org/","Accredited",10,29250,500,0,0.35,0.1
"1417",795,"Columbia Valley Community Health","Community Health Center","600 Orondo St. Suite 1Wenatchee, Washington 98801-2800","http://www.cvch.org/health-professionals/doctoral-internship","Accredited",2,25937.6,600,200,0.56,0.22
"1429",466,"Community Counseling Center of Mercer County (formerly Penn-Ohio Psychology Internship Program)","Community Mental Health Center","2201 East State Street Hermitage , Pennsylvania 16148","http://www.cccmer.org","Not Accredited",3,19240,500,150,0.53,0.11
"1441",724,"Community Healthlink Youth and Family Services","Community Mental Health Center","275 Belmont Street Worcester, Massachusetts 01604-1693","http://www.communityhealthlink.org","Accredited",4,20000,400,100,0.26,0.17
"1453",242,"Community Reach Center (Formerly Adams Community Mental Health Center)","Community Mental Health Center","4371 E. 72nd Ave. Commerce City, Colorado 80022","http://www.communityreachcenter.org","Accredited",5,24000,500,0,0.28,0.16
"1465",52,"Community Services Institute","Private Outpatient Clinic","1695 Main StreetSuite 400Springfield , Massachusetts 01103","http://www.CommunityServ.com","Not Accredited",8,20500,0,0,0.65,0.4
"1477",1447,"Comprehensive Outpatient Recovery, Treatment & Evaluation","Private Outpatient Clinic","4733 W. Atlantic AveSuite C-21Delray Beach, Florida 33445","http://www.corteprogram.com","Not Accredited",3,17000,500,100,0.71,0.13
"1489",614,"Concordia University Psychology Internship Programme","Academic Health Center","7141 Sherbrooke Street West Montreal, Quebec H4B 1R6","http://psychology.concordia.ca/graduateprograms/informationforcurrentstudents/cupipdocuments/index.php","Not Accredited",4,20000,0,0,0.4,1
"1501",528,"Conemaugh Memorial Medical Center","Academic Health Center","1086 Franklin Street Johnstown, Pennsylvania 15905","http://www.conemaugh.org","Not Accredited",2,27000,0,0,0.69,0.08
"1513",12,"Connecticut Valley Psychology Internship/River Valley Services","Community Mental Health Center","P.O. Box 351Silver StreetMiddletown, Connecticut 06457","http://www.ct.gov/dmhas/rvs/brochure","Accredited",3,50743,500,100,0.3,0.12
"1525",506,"Consortium of the Clifford Beers Clinic and the Post Traumatic Stress Center","Consortium","93 Edwards Street New Haven, Connecticut 06511","http://www.cliffordbeers.org","Not Accredited",5,25000,500,0,0.5,0.18
"1537",532,"Corizon Behavioral Health at Wabash Valley Correctional Facility","Prison or Other Correctional Facility","6908 S. Old US Highway 41P.O. Box 500Carlisle, Indiana 47838","","Not Accredited",2,34320,0,0,0.8,0.12
"1549",339,"Corporal Michael J. Crescenz VA Medical Center","Veterans Affairs Medical Center","Mailstop 1163900 Woodland AvePhiladelphia, Pennsylvania 19104","http://www.philadelphia.va.gov/Trainee/Psychology_Internship_and_Fellowship_Programs.asp","Accredited",6,25576,400,50,0.19,0.14
"1561",1641,"Correct Care Solutions/Treasure Coast Forensic Treatment Center","Private Psychiatric Hospital","96 SW Allapattah Road Indiantown, Florida 34956","http://www.correctcarers.com/","Not Accredited",3,15953,200,100,0.57,0.25
